Transformed Features and CoefficientsParand: degree=8, λ=100.0                                                  Feature  Coefficient
204                             Area^6 Room Has_Warehouse    -0.585725
205                              Area^6 Room Has_Elevator    10.228225
206                      Area^6 Has_Parking Has_Warehouse     0.281738
207                       Area^6 Has_Parking Has_Elevator    -3.898117
208                     Area^6 Has_Warehouse Has_Elevator    -1.771603
209                                         Area^5 Room^3   -12.949758
210                             Area^5 Room^2 Has_Parking    -3.700957
211                           Area^5 Room^2 Has_Warehouse    -0.000000
212                            Area^5 Room^2 Has_Elevator    16.335854
213                 Area^5 Room Has_Parking Has_Warehouse    -0.000000
214                  Area^5 Room Has_Parking Has_Elevator     0.000000
215                Area^5 Room Has_Warehouse Has_Elevator     0.000000
216         Area^5 Has_Parking Has_Warehouse Has_Elevator   -30.295880
217                                         Area^4 Room^4   -15.739169
218                             Area^4 Room^3 Has_Parking   -15.578923
219                           Area^4 Room^3 Has_Warehouse    -0.000000
220                            Area^4 Room^3 Has_Elevator    34.041281
221               Area^4 Room^2 Has_Parking Has_Warehouse    -0.000000
222                Area^4 Room^2 Has_Parking Has_Elevator    -0.000000
223              Area^4 Room^2 Has_Warehouse Has_Elevator    -0.000000
224    Area^4 Room Has_Parking Has_Warehouse Has_Elevator     0.000000
225                                         Area^3 Room^5    -7.961452
226                             Area^3 Room^4 Has_Parking   -60.059793
227                           Area^3 Room^4 Has_Warehouse    -0.000000
228                            Area^3 Room^4 Has_Elevator    67.460367
229               Area^3 Room^3 Has_Parking Has_Warehouse     0.000000
230                Area^3 Room^3 Has_Parking Has_Elevator     0.000000
231              Area^3 Room^3 Has_Warehouse Has_Elevator     0.000000
232  Area^3 Room^2 Has_Parking Has_Warehouse Has_Elevator     0.000000
233                                         Area^2 Room^6     0.501998
234                             Area^2 Room^5 Has_Parking    -0.416096
235                           Area^2 Room^5 Has_Warehouse    -0.000000
236                            Area^2 Room^5 Has_Elevator    35.327814
237               Area^2 Room^4 Has_Parking Has_Warehouse    65.009132
238                Area^2 Room^4 Has_Parking Has_Elevator     0.000000
239              Area^2 Room^4 Has_Warehouse Has_Elevator     0.000000
240  Area^2 Room^3 Has_Parking Has_Warehouse Has_Elevator     0.000000
241                                           Area Room^7     1.935353
242                               Area Room^6 Has_Parking     4.400666
243                             Area Room^6 Has_Warehouse     0.000000
244                              Area Room^6 Has_Elevator    11.546501
245                 Area Room^5 Has_Parking Has_Warehouse    91.587195
246                  Area Room^5 Has_Parking Has_Elevator    -0.000000
247                Area Room^5 Has_Warehouse Has_Elevator    -0.000000
248    Area Room^4 Has_Parking Has_Warehouse Has_Elevator   403.774338
249                                                Room^8    -1.827449
250                                    Room^7 Has_Parking    -0.921790
251                                  Room^7 Has_Warehouse    -3.510627
252                                   Room^7 Has_Elevator     1.991877
253                      Room^6 Has_Parking Has_Warehouse    -0.000000
254                       Room^6 Has_Parking Has_Elevator   -27.821811
255                     Room^6 Has_Warehouse Has_Elevator    -4.626712
256         Room^5 Has_Parking Has_Warehouse Has_Elevator    -0.000000
