Transformed Features and CoefficientsShahran: degree=10, λ=1                                                  Feature   Coefficient
175                           Area^2 Room^4 Has_Warehouse      8.649320
176                            Area^2 Room^4 Has_Elevator    -25.987429
177               Area^2 Room^3 Has_Parking Has_Warehouse     91.846532
178                Area^2 Room^3 Has_Parking Has_Elevator     74.171825
179              Area^2 Room^3 Has_Warehouse Has_Elevator     -0.000000
180  Area^2 Room^2 Has_Parking Has_Warehouse Has_Elevator   -147.627607
181                                           Area Room^6     23.816823
182                               Area Room^5 Has_Parking   -120.189262
183                             Area Room^5 Has_Warehouse     -5.377433
184                              Area Room^5 Has_Elevator    -19.213501
185                 Area Room^4 Has_Parking Has_Warehouse    331.948384
186                  Area Room^4 Has_Parking Has_Elevator     74.740868
187                Area Room^4 Has_Warehouse Has_Elevator      6.368720
188    Area Room^3 Has_Parking Has_Warehouse Has_Elevator  -1047.931840
189                                                Room^7      1.851012
190                                    Room^6 Has_Parking     19.911849
191                                  Room^6 Has_Warehouse     -1.711904
192                                   Room^6 Has_Elevator     -7.009254
193                      Room^5 Has_Parking Has_Warehouse    -45.192851
194                       Room^5 Has_Parking Has_Elevator     23.436573
195                     Room^5 Has_Warehouse Has_Elevator      0.039595
196         Room^4 Has_Parking Has_Warehouse Has_Elevator     40.855640
197                                                Area^8    100.846040
198                                           Area^7 Room   -123.229671
199                                    Area^7 Has_Parking    -81.295639
200                                  Area^7 Has_Warehouse    -18.701751
201                                   Area^7 Has_Elevator    -51.931833
202                                         Area^6 Room^2   -151.535201
203                               Area^6 Room Has_Parking     32.709178
204                             Area^6 Room Has_Warehouse     17.217495
205                              Area^6 Room Has_Elevator    -15.631711
206                      Area^6 Has_Parking Has_Warehouse    -33.168745
207                       Area^6 Has_Parking Has_Elevator    193.951289
208                     Area^6 Has_Warehouse Has_Elevator     -0.000000
209                                         Area^5 Room^3    -39.217951
210                             Area^5 Room^2 Has_Parking    106.357982
211                           Area^5 Room^2 Has_Warehouse     35.444109
212                            Area^5 Room^2 Has_Elevator    -45.282104
213                 Area^5 Room Has_Parking Has_Warehouse   -699.484246
214                  Area^5 Room Has_Parking Has_Elevator    -57.688547
215                Area^5 Room Has_Warehouse Has_Elevator   -193.627907
216         Area^5 Has_Parking Has_Warehouse Has_Elevator   -592.115786
217                                         Area^4 Room^4    169.340836
218                             Area^4 Room^3 Has_Parking     36.982651
219                           Area^4 Room^3 Has_Warehouse    -25.948848
220                            Area^4 Room^3 Has_Elevator     33.902663
221               Area^4 Room^2 Has_Parking Has_Warehouse    -12.654079
222                Area^4 Room^2 Has_Parking Has_Elevator    -52.908217
223              Area^4 Room^2 Has_Warehouse Has_Elevator    -14.386802
224    Area^4 Room Has_Parking Has_Warehouse Has_Elevator    275.844255
225                                         Area^3 Room^5     40.784899
226                             Area^3 Room^4 Has_Parking   -102.702326
227                           Area^3 Room^4 Has_Warehouse    -20.580527
228                            Area^3 Room^4 Has_Elevator     29.649169
229               Area^3 Room^3 Has_Parking Has_Warehouse    298.207502
230                Area^3 Room^3 Has_Parking Has_Elevator    -47.188156
231              Area^3 Room^3 Has_Warehouse Has_Elevator     13.247700
232  Area^3 Room^2 Has_Parking Has_Warehouse Has_Elevator   -407.233064
233                                         Area^2 Room^6     28.086383
234                             Area^2 Room^5 Has_Parking    -30.144135
235                           Area^2 Room^5 Has_Warehouse     -5.661828
236                            Area^2 Room^5 Has_Elevator     13.836737
237               Area^2 Room^4 Has_Parking Has_Warehouse    103.433411
238                Area^2 Room^4 Has_Parking Has_Elevator    -45.286250
239              Area^2 Room^4 Has_Warehouse Has_Elevator      7.794080
240  Area^2 Room^3 Has_Parking Has_Warehouse Has_Elevator   -190.833999
241                                           Area Room^7     -1.403558
242                               Area Room^6 Has_Parking     24.384229
243                             Area Room^6 Has_Warehouse      0.618023
244                              Area Room^6 Has_Elevator      7.505943
245                 Area Room^5 Has_Parking Has_Warehouse    -82.278432
246                  Area Room^5 Has_Parking Has_Elevator    -36.728746
247                Area Room^5 Has_Warehouse Has_Elevator      0.031126
248    Area Room^4 Has_Parking Has_Warehouse Has_Elevator    297.157512
249                                                Room^8     -8.538442
250                                    Room^7 Has_Parking     -4.668869
251                                  Room^7 Has_Warehouse      0.492305
252                                   Room^7 Has_Elevator      2.222848
253                      Room^6 Has_Parking Has_Warehouse     12.949733
254                       Room^6 Has_Parking Has_Elevator    -10.530435
255                     Room^6 Has_Warehouse Has_Elevator      0.000000
256         Room^5 Has_Parking Has_Warehouse Has_Elevator     -6.244976
257                                                Area^9     41.537881
258                                           Area^8 Room   -182.115397
259                                    Area^8 Has_Parking     97.406038
260                                  Area^8 Has_Warehouse     24.574919
261                                   Area^8 Has_Elevator      6.079902
262                                         Area^7 Room^2     33.413263
263                               Area^7 Room Has_Parking   -242.476651
264                             Area^7 Room Has_Warehouse     59.352725
265                              Area^7 Room Has_Elevator    -16.316688
266                      Area^7 Has_Parking Has_Warehouse    -64.244700
267                       Area^7 Has_Parking Has_Elevator    -59.463757
