Transformed Features and CoefficientsPunak: degree=8, λ=10                                                  Feature   Coefficient
223              Area^4 Room^2 Has_Warehouse Has_Elevator      1.326867
224    Area^4 Room Has_Parking Has_Warehouse Has_Elevator   -156.526583
225                                         Area^3 Room^5     59.969744
226                             Area^3 Room^4 Has_Parking    -78.569498
227                           Area^3 Room^4 Has_Warehouse     -2.904957
228                            Area^3 Room^4 Has_Elevator     -3.009819
229               Area^3 Room^3 Has_Parking Has_Warehouse    169.029046
230                Area^3 Room^3 Has_Parking Has_Elevator      6.467296
231              Area^3 Room^3 Has_Warehouse Has_Elevator      6.005279
232  Area^3 Room^2 Has_Parking Has_Warehouse Has_Elevator   -352.376120
233                                         Area^2 Room^6    -32.080394
234                             Area^2 Room^5 Has_Parking    -80.891014
235                           Area^2 Room^5 Has_Warehouse    -10.533131
236                            Area^2 Room^5 Has_Elevator     -7.467714
237               Area^2 Room^4 Has_Parking Has_Warehouse    150.281388
238                Area^2 Room^4 Has_Parking Has_Elevator     16.560570
239              Area^2 Room^4 Has_Warehouse Has_Elevator     22.530913
240  Area^2 Room^3 Has_Parking Has_Warehouse Has_Elevator   -289.329567
241                                           Area Room^7   -193.345020
242                               Area Room^6 Has_Parking    192.038538
243                             Area Room^6 Has_Warehouse      0.000000
244                              Area Room^6 Has_Elevator     -5.033353
245                 Area Room^5 Has_Parking Has_Warehouse   -440.601317
246                  Area Room^5 Has_Parking Has_Elevator     -0.046149
247                Area Room^5 Has_Warehouse Has_Elevator     -0.000000
248    Area Room^4 Has_Parking Has_Warehouse Has_Elevator    686.334354
249                                                Room^8    118.443639
250                                    Room^7 Has_Parking    -55.554525
251                                  Room^7 Has_Warehouse    -25.103826
252                                   Room^7 Has_Elevator    -22.917342
253                      Room^6 Has_Parking Has_Warehouse    107.581647
254                       Room^6 Has_Parking Has_Elevator     22.828903
255                     Room^6 Has_Warehouse Has_Elevator     88.881035
256         Room^5 Has_Parking Has_Warehouse Has_Elevator   -148.015003
