Transformed Features and CoefficientsPunak: degree=8, λ=0.01                                                  Feature   Coefficient
195                     Room^5 Has_Warehouse Has_Elevator    -79.172939
196         Room^4 Has_Parking Has_Warehouse Has_Elevator    -61.431599
197                                                Area^8     -7.349675
198                                           Area^7 Room      3.838303
199                                    Area^7 Has_Parking     -0.328520
200                                  Area^7 Has_Warehouse     -0.024158
201                                   Area^7 Has_Elevator      0.005402
202                                         Area^6 Room^2     11.074979
203                               Area^6 Room Has_Parking     -1.215302
204                             Area^6 Room Has_Warehouse      0.004918
205                              Area^6 Room Has_Elevator     -0.061460
206                      Area^6 Has_Parking Has_Warehouse     -2.810963
207                       Area^6 Has_Parking Has_Elevator      0.170230
208                     Area^6 Has_Warehouse Has_Elevator      0.019470
209                                         Area^5 Room^3     27.119807
210                             Area^5 Room^2 Has_Parking     -5.838654
211                           Area^5 Room^2 Has_Warehouse     -0.064465
212                            Area^5 Room^2 Has_Elevator     -0.205805
213                 Area^5 Room Has_Parking Has_Warehouse     11.646276
214                  Area^5 Room Has_Parking Has_Elevator      0.438716
215                Area^5 Room Has_Warehouse Has_Elevator      0.119489
216         Area^5 Has_Parking Has_Warehouse Has_Elevator    -51.387512
217                                         Area^4 Room^4     55.334907
218                             Area^4 Room^3 Has_Parking    -25.917168
219                           Area^4 Room^3 Has_Warehouse     -0.268832
220                            Area^4 Room^3 Has_Elevator     -0.801557
221               Area^4 Room^2 Has_Parking Has_Warehouse     55.521831
222                Area^4 Room^2 Has_Parking Has_Elevator      1.680268
223              Area^4 Room^2 Has_Warehouse Has_Elevator      0.592596
224    Area^4 Room Has_Parking Has_Warehouse Has_Elevator   -150.853382
225                                         Area^3 Room^5     63.071815
226                             Area^3 Room^4 Has_Parking    -80.059793
227                           Area^3 Room^4 Has_Warehouse     -1.226189
228                            Area^3 Room^4 Has_Elevator     -2.233252
229               Area^3 Room^3 Has_Parking Has_Warehouse    176.276572
230                Area^3 Room^3 Has_Parking Has_Elevator      4.736345
231              Area^3 Room^3 Has_Warehouse Has_Elevator      2.712749
