Transformed Features and CoefficientsPunak: degree=8, λ=1e-08                                                  Feature   Coefficient
195                     Room^5 Has_Warehouse Has_Elevator    -79.462642
196         Room^4 Has_Parking Has_Warehouse Has_Elevator    -62.176542
197                                                Area^8     -7.348968
198                                           Area^7 Room      3.838442
199                                    Area^7 Has_Parking     -0.328473
200                                  Area^7 Has_Warehouse     -0.024153
201                                   Area^7 Has_Elevator      0.005432
202                                         Area^6 Room^2     11.075273
203                               Area^6 Room Has_Parking     -1.215150
204                             Area^6 Room Has_Warehouse      0.004984
205                              Area^6 Room Has_Elevator     -0.061497
206                      Area^6 Has_Parking Has_Warehouse     -2.811303
207                       Area^6 Has_Parking Has_Elevator      0.170361
208                     Area^6 Has_Warehouse Has_Elevator      0.019561
209                                         Area^5 Room^3     27.120919
210                             Area^5 Room^2 Has_Parking     -5.838226
211                           Area^5 Room^2 Has_Warehouse     -0.064393
212                            Area^5 Room^2 Has_Elevator     -0.205709
213                 Area^5 Room Has_Parking Has_Warehouse     11.645660
214                  Area^5 Room Has_Parking Has_Elevator      0.438476
215                Area^5 Room Has_Warehouse Has_Elevator      0.119372
216         Area^5 Has_Parking Has_Warehouse Has_Elevator    -51.387315
217                                         Area^4 Room^4     55.338993
218                             Area^4 Room^3 Has_Parking    -25.916673
219                           Area^4 Room^3 Has_Warehouse     -0.268487
220                            Area^4 Room^3 Has_Elevator     -0.801005
221               Area^4 Room^2 Has_Parking Has_Warehouse     55.521399
222                Area^4 Room^2 Has_Parking Has_Elevator      1.678895
223              Area^4 Room^2 Has_Warehouse Has_Elevator      0.592377
224    Area^4 Room Has_Parking Has_Warehouse Has_Elevator   -150.854926
225                                         Area^3 Room^5     63.085482
226                             Area^3 Room^4 Has_Parking    -80.064108
227                           Area^3 Room^4 Has_Warehouse     -1.224657
228                            Area^3 Room^4 Has_Elevator     -2.230371
229               Area^3 Room^3 Has_Parking Has_Warehouse    176.286144
230                Area^3 Room^3 Has_Parking Has_Elevator      4.729254
231              Area^3 Room^3 Has_Warehouse Has_Elevator      2.711573
232  Area^3 Room^2 Has_Parking Has_Warehouse Has_Elevator   -382.011809
233                                         Area^2 Room^6     -0.045366
234                             Area^2 Room^5 Has_Parking   -111.470060
235                           Area^2 Room^5 Has_Warehouse     -4.401992
236                            Area^2 Room^5 Has_Elevator     -3.874025
237               Area^2 Room^4 Has_Parking Has_Warehouse    249.340911
238                Area^2 Room^4 Has_Parking Has_Elevator      8.166911
239              Area^2 Room^4 Has_Warehouse Has_Elevator     10.136436
240  Area^2 Room^3 Has_Parking Has_Warehouse Has_Elevator   -521.220290
241                                           Area Room^7   -110.717275
242                               Area Room^6 Has_Parking    128.322510
243                             Area Room^6 Has_Warehouse    -11.565565
244                              Area Room^6 Has_Elevator     -0.592637
245                 Area Room^5 Has_Parking Has_Warehouse   -283.459259
246                  Area Room^5 Has_Parking Has_Elevator      1.810890
247                Area Room^5 Has_Warehouse Has_Elevator     27.499582
248    Area Room^4 Has_Parking Has_Warehouse Has_Elevator    508.196415
249                                                Room^8     45.142902
250                                    Room^7 Has_Parking      4.862207
251                                  Room^7 Has_Warehouse    -18.500240
252                                   Room^7 Has_Elevator      1.163220
253                      Room^6 Has_Parking Has_Warehouse    -24.992441
254                       Room^6 Has_Parking Has_Elevator     -3.418677
255                     Room^6 Has_Warehouse Has_Elevator     50.148703
256         Room^5 Has_Parking Has_Warehouse Has_Elevator     47.545473
