Transformed Features and CoefficientsShahran: degree=10, λ=1e-08                                                  Feature   Coefficient
377                                         Area^2 Room^8      6.642394
378                             Area^2 Room^7 Has_Parking     -5.541713
379                           Area^2 Room^7 Has_Warehouse      0.348639
380                            Area^2 Room^7 Has_Elevator      0.789172
381               Area^2 Room^6 Has_Parking Has_Warehouse     17.837701
382                Area^2 Room^6 Has_Parking Has_Elevator     -4.296726
383              Area^2 Room^6 Has_Warehouse Has_Elevator      0.330305
384  Area^2 Room^5 Has_Parking Has_Warehouse Has_Elevator    -44.810821
385                                           Area Room^9      0.785863
386                               Area Room^8 Has_Parking      0.720008
387                             Area Room^8 Has_Warehouse      0.241310
388                              Area Room^8 Has_Elevator      0.498307
389                 Area Room^7 Has_Parking Has_Warehouse     -3.406132
390                  Area Room^7 Has_Parking Has_Elevator     -2.772560
391                Area Room^7 Has_Warehouse Has_Elevator      0.119562
392    Area Room^6 Has_Parking Has_Warehouse Has_Elevator     19.162853
393                                               Room^10     -0.737713
394                                    Room^9 Has_Parking     -0.442090
395                                  Room^9 Has_Warehouse      0.074121
396                                   Room^9 Has_Elevator      0.160385
397                      Room^8 Has_Parking Has_Warehouse      1.211045
398                       Room^8 Has_Parking Has_Elevator     -0.860591
399                     Room^8 Has_Warehouse Has_Elevator      0.024799
400         Room^7 Has_Parking Has_Warehouse Has_Elevator     -1.294043
